Ortsnetzkennzahl;Ortsnetzname;StelligkeitNZE;StelligkeitNZZ;Losgroesse;KennzeichenHRNBbeantragbar;LetzteAenderungStelligkeit;LetzteAenderungLosgroesse
201;Essen;11;11;10000;False;16.03.2009;01.01.1998
202;Wuppertal;11;11;10000;False;29.04.2010;29.04.2010
203;Duisburg;11;11;10000;False;30.04.2010;30.04.2010
2041;Bottrop;11;11;10000;False;15.01.2007;01.01.1998
2043;Gladbeck;11;11;10000;False;02.04.2007;01.01.1998
2045;Bottrop-Kirchhellen;11;11;10000;False;30.04.2010;30.04.2010
2051;Velbert;11;11;10000;False;30.04.2010;30.04.2010
2052;Velbert-Langenberg;11;11;10000;False;15.01.2007;01.01.1998
2053;Velbert-Neviges;11;11;10000;False;15.01.2007;01.01.1998
2054;Essen-Kettwig;11;11;10000;False;28.02.2005;01.01.1998
2056;Heiligenhaus;11;11;10000;False;30.04.2010;30.04.2010
2058;Wülfrath;11;11;10000;False;15.01.2007;01.01.1998
2064;Dinslaken;11;11;10000;False;04.09.2006;01.01.1998
2065;Duisburg-Rheinhausen;11;11;10000;False;30.04.2010;30.04.2010
2066;Duisburg-Homberg;11;11;10000;False;30.04.2010;30.04.2010
208;Oberhausen Rheinl;11;11;10000;False;29.04.2010;29.04.2010
209;Gelsenkirchen;11;11;10000;False;15.09.2008;01.01.1998
2102;Ratingen;11;11;10000;False;12.05.2003;01.01.1998
2103;Hilden;11;11;10000;False;12.02.2007;01.01.1998
2104;Mettmann;11;11;10000;False;12.02.2007;01.01.1998
211;Düsseldorf;11;11;10000;False;05.03.2007;01.01.1998
212;Solingen;11;11;10000;False;30.04.2010;30.04.2010
2129;Haan Rheinl;11;11;10000;False;15.01.2007;01.01.1998
2131;Neuss;11;11;5000;False;01.07.2001;11.06.2011
2132;Meerbusch-Büderich;11;11;10000;False;12.02.2007;01.01.1998
2133;Dormagen;11;11;10000;False;30.04.2010;30.04.2010
2137;Neuss-Norf;11;11;10000;False;04.09.2006;01.01.1998
214;Leverkusen;11;11;10000;False;29.04.2010;29.04.2010
2150;Meerbusch-Lank;11;11;10000;False;30.04.2010;30.04.2010
2151;Krefeld;11;11;10000;False;12.05.2003;01.01.1998
2152;Kempen;11;11;10000;False;30.10.2006;01.01.1998
2153;Nettetal-Lobberich;11;11;10000;False;01.03.2004;01.01.1998
2154;Willich;11;11;10000;False;15.01.2007;01.01.1998
2156;Willich-Anrath;11;11;10000;False;15.01.2007;01.01.1998
2157;Nettetal-Kaldenkirchen;11;11;10000;False;02.04.2007;01.01.1998
2158;Grefrath b Krefeld;11;11;10000;False;30.04.2010;30.04.2010
2159;Meerbusch-Osterath;11;11;10000;False;04.09.2006;01.01.1998
2161;Mönchengladbach;11;11;10000;False;12.05.2003;01.01.1998
2162;Viersen;11;11;10000;False;12.05.2003;01.01.1998
2163;Schwalmtal Niederrhein;11;11;10000;False;12.05.2003;01.01.1998
2164;Jüchen-Otzenrath;11;11;10000;False;29.04.2010;29.04.2010
2165;Jüchen;11;11;10000;False;30.04.2010;30.04.2010
2166;Mönchengladbach-Rheydt;11;11;10000;False;04.09.2006;01.01.1998
2171;Leverkusen-Opladen;11;11;10000;False;12.02.2007;01.01.1998
2173;Langenfeld Rheinland;11;11;10000;False;12.05.2003;01.01.1998
2174;Burscheid Rheinl;11;11;10000;False;02.04.2007;01.01.1998
2175;Leichlingen Rheinland;11;11;10000;False;30.04.2010;30.04.2010
2181;Grevenbroich;11;11;10000;False;12.05.2003;01.01.1998
2182;Grevenbroich-Kapellen;11;11;10000;False;28.02.2005;01.01.1998
2183;Rommerskirchen;11;11;10000;False;30.04.2010;30.04.2010
2191;Remscheid;11;11;10000;False;01.07.2001;01.01.1998
2192;Hückeswagen;11;11;10000;False;15.01.2007;01.01.1998
2193;Dabringhausen;11;11;10000;False;30.04.2010;30.04.2010
2195;Radevormwald;11;11;10000;False;04.12.2006;01.01.1998
2196;Wermelskirchen;11;11;10000;False;04.12.2006;01.01.1998
