"Vorwahl";"Ortsnetz";"10_oder_11";"Losgr";"Sum_RNB";"Stand"
"0201";"Essen";1011;10;1955;"07.10.2008"
"0202";"Wuppertal";1011;30;3372;"07.10.2008"
"0203";"Duisburg";1011;30;2539;"07.10.2008"
"02041";"Bottrop";11;4;1894;"07.10.2008"
"02043";"Gladbeck";11;4;2839;"07.10.2008"
"02045";"Bottrop-Kirchhellen";1011;4;238;"07.10.2008"
"02051";"Velbert";1011;4;325;"07.10.2008"
"02052";"Velbert-Langenberg";11;4;1227;"07.10.2008"
"02053";"Velbert-Neviges";11;4;1404;"07.10.2008"
"02054";"Essen-Kettwig";11;4;712;"07.10.2008"
"02056";"Heiligenhaus";1011;4;252;"07.10.2008"
"02058";"WÅlfrath";11;4;1124;"07.10.2008"
"02064";"Dinslaken";11;4;1438;"07.10.2008"
"02065";"Duisburg-Rheinhausen";1011;4;299;"07.10.2008"
"02066";"Duisburg-Homberg";1011;4;333;"07.10.2008"
"0208";"Oberhausen Rheinl";1011;30;2581;"07.10.2008"
"0209";"Gelsenkirchen";11;4;15730;"07.10.2008"
"02102";"Ratingen";11;4;1666;"07.10.2008"
"02103";"Hilden";11;4;1849;"07.10.2008"
"02104";"Mettmann";11;4;2179;"07.10.2008"
"0211";"DÅsseldorf";11;4;16425;"07.10.2008"
"0212";"Solingen";1011;10;2180;"07.10.2008"
"02129";"Haan Rheinl";11;4;1074;"07.10.2008"
"02131";"Neuss";11;4;492;"07.10.2008"
"02132";"Meerbusch-BÅderich";11;4;1678;"07.10.2008"
"02133";"Dormagen";1011;4;263;"07.10.2008"
"02137";"Neuss-Norf";11;4;562;"07.10.2008"
"0214";"Leverkusen";1011;30;3153;"07.10.2008"
"02150";"Meerbusch-Lank";1011;3;189;"07.10.2008"
"02151";"Krefeld";11;4;1166;"07.10.2008"
"02152";"Kempen";11;4;834;"07.10.2008"
"02153";"Nettetal-Lobberich";11;4;763;"07.10.2008"
"02154";"Willich";11;4;1079;"07.10.2008"
"02156";"Willich-Anrath";11;4;1072;"07.10.2008"
"02157";"Nettetal-Kaldenkirchen";11;4;1649;"07.10.2008"
"02158";"Grefrath b Krefeld";1011;3;187;"07.10.2008"
"02159";"Meerbusch-Osterath";11;4;688;"07.10.2008"
"02161";"Mînchengladbach";11;4;2244;"07.10.2008"
"02162";"Viersen";11;4;1401;"07.10.2008"
"02163";"Schwalmtal Niederrhein";11;4;811;"07.10.2008"
"02164";"JÅchen-Otzenrath";1011;10;475;"07.10.2008"
"02165";"JÅchen";1011;4;286;"07.10.2008"
"02166";"Mînchengladbach-Rheydt";11;4;1484;"07.10.2008"
"02171";"Leverkusen-Opladen";11;4;2130;"07.10.2008"
"02173";"Langenfeld Rheinland";11;4;1284;"07.10.2008"
"02174";"Burscheid Rheinl";11;4;1558;"07.10.2008"
"02175";"Leichlingen Rheinland";1011;3;173;"07.10.2008"
"02181";"Grevenbroich";11;4;1074;"07.10.2008"
"02182";"Grevenbroich-Kapellen";11;4;546;"07.10.2008"
"02183";"Rommerskirchen";1011;4;215;"07.10.2008"
"02191";"Remscheid";11;4;917;"07.10.2008"
"02192";"HÅckeswagen";11;4;1368;"07.10.2008"
"02193";"Dabringhausen";1011;4;307;"07.10.2008"
"02195";"Radevormwald";11;4;725;"07.10.2008"
"02196";"Wermelskirchen";11;4;786;"07.10.2008"
"02202";"Bergisch Gladbach";11;4;1983;"07.10.2008"
"02203";"Kîln-Porz";11;4;1560;"07.10.2008"
"02204";"Bensberg";1011;4;217;"07.10.2008"
"02205";"Rîsrath";11;4;753;"07.10.2008"
"02206";"Overath";11;4;613;"07.10.2008"
"02207";"KÅrten-DÅrscheid";11;4;1537;"07.10.2008"
"02208";"Niederkassel";11;4;1052;"07.10.2008"
"0221";"Kîln";11;4;14166;"07.10.2008"
"02222";"Bornheim Rheinl";11;4;1264;"07.10.2008"
"02223";"Kînigswinter";1011;10;406;"07.10.2008"
"02224";"Bad Honnef";11;4;747;"07.10.2008"
"02225";"Meckenheim Rheinl";11;4;958;"07.10.2008"
"02226";"Rheinbach";11;4;983;"07.10.2008"
"02227";"Bornheim-Merten";11;4;750;"07.10.2008"
"02228";"Remagen-Rolandseck";1011;10;355;"07.10.2008"
"02232";"BrÅhl Rheinl";1011;4;293;"07.10.2008"
"02233";"HÅrth Rheinl";11;4;2271;"07.10.2008"
"02234";"Frechen";11;4;1760;"07.10.2008"
"02235";"Erftstadt";11;4;1694;"07.10.2008"
"02236";"Wesseling Rheinl";11;4;1828;"07.10.2008"
"02237";"Kerpen Rheinl-TÅrnich";11;4;1354;"07.10.2008"
"02238";"Pulheim";11;4;1816;"07.10.2008"
"02241";"Siegburg";11;4;624;"07.10.2008"
"02242";"Hennef Sieg";11;4;459;"07.10.2008"
"02243";"Eitorf";11;4;1277;"07.10.2008"
"02244";"Kînigswinter-Oberpleis";11;4;1027;"07.10.2008"
"02245";"Much";11;4;1367;"07.10.2008"
"02246";"Lohmar";11;4;665;"07.10.2008"
"02247";"Neunkirchen-Seelscheid";11;4;1288;"07.10.2008"
"02248";"Hennef-Uckerath";1011;10;360;"07.10.2008"
"02251";"Euskirchen";11;4;1181;"07.10.2008"
"02252";"ZÅlpich";11;4;1570;"07.10.2008"
"02253";"Bad MÅnstereifel";1011;4;211;"07.10.2008"
"02254";"Weilerswist";11;4;1454;"07.10.2008"
"02255";"Euskirchen-Flamersheim";1011;10;354;"07.10.2008"
"02256";"Mechernich-Satzvey";1011;10;446;"07.10.2008"
"02257";"Reckerscheid";1011;4;276;"07.10.2008"
"02261";"Gummersbach";11;4;1507;"07.10.2008"
"02262";"Wiehl";11;4;1227;"07.10.2008"
"02263";"Engelskirchen";11;4;945;"07.10.2008"
"02264";"Marienheide";11;4;1377;"07.10.2008"
"02265";"Reichshof-Eckenhagen";11;4;838;"07.10.2008"
"02266";"Lindlar";11;4;555;"07.10.2008"
"02267";"WipperfÅrth";11;4;625;"07.10.2008"
"02268";"KÅrten";1011;4;203;"07.10.2008"
"02269";"Kierspe-Rînsahl";1011;4;236;"07.10.2008"
"02271";"Bergheim Erft";1011;10;425;"07.10.2008"
"02272";"Bedburg Erft";11;4;1256;"07.10.2008"
"02273";"Kerpen-Horrem";11;4;1538;"07.10.2008"
"02274";"Elsdorf Rheinl";11;4;1425;"07.10.2008"
"02275";"Kerpen-Buir";1011;3;191;"07.10.2008"
"0228";"Bonn";11;4;18701;"07.10.2008"
"02291";"Waldbrîl";11;4;767;"07.10.2008"
"02292";"Windeck Sieg";1011;3;180;"07.10.2008"
"02293";"NÅmbrecht";1011;3;162;"07.10.2008"
"02294";"Morsbach Sieg";11;4;554;"07.10.2008"
"02295";"Ruppichteroth";1011;10;366;"07.10.2008"
"02296";"Reichshof-BrÅchermÅhle";11;4;483;"07.10.2008"
"02297";"WildbergerhÅtte";1011;4;258;"07.10.2008"
"02301";"Holzwickede";11;4;953;"07.10.2008"
"02302";"Witten";11;4;1032;"07.10.2008"
"02303";"Unna";1011;4;240;"07.10.2008"
"02304";"Schwerte";11;4;1623;"07.10.2008"
"02305";"Castrop-Rauxel";11;4;1802;"07.10.2008"
"02306";"LÅnen";11;4;1120;"07.10.2008"
"02307";"Kamen";11;4;2066;"07.10.2008"
"02308";"Unna-Hemmerde";1011;4;206;"07.10.2008"
"02309";"Waltrop";1011;4;277;"07.10.2008"
"0231";"Dortmund";1011;10;2271;"07.10.2008"
"02323";"Herne";11;4;1320;"07.10.2008"
"02324";"Hattingen Ruhr";11;4;1874;"07.10.2008"
"02325";"Wanne-Eickel";1011;4;295;"07.10.2008"
"02327";"Bochum-Wattenscheid";1011;3;246;"07.10.2008"
"02330";"Herdecke";1011;4;255;"07.10.2008"
"02331";"Hagen Westf";11;3;342;"07.10.2008"
"02332";"Gevelsberg";1011;4;230;"07.10.2008"
"02333";"Ennepetal";1011;4;206;"07.10.2008"
"02334";"Hagen-Hohenlimburg";1011;4;340;"07.10.2008"
"02335";"Wetter Ruhr";11;4;1455;"07.10.2008"
"02336";"Schwelm";11;4;1403;"07.10.2008"
"02337";"Hagen-Dahl";1011;4;253;"07.10.2008"
"02338";"Breckerfeld";1011;3;182;"07.10.2008"
"02339";"Sprockhîvel-Ha·linghausen";1011;4;219;"07.10.2008"
"0234";"Bochum";1011;30;3178;"07.10.2008"
"02351";"LÅdenscheid";11;4;1106;"07.10.2008"
"02352";"Altena Westf";1011;10;482;"07.10.2008"
"02353";"Halver";1011;10;353;"07.10.2008"
"02354";"Meinerzhagen";1011;4;260;"07.10.2008"
"02355";"SchalksmÅhle";1011;4;307;"07.10.2008"
"02357";"Herscheid Westf";1011;10;478;"07.10.2008"
"02358";"Meinerzhagen-Valbert";1011;4;225;"07.10.2008"
"02359";"Kierspe";1011;3;162;"07.10.2008"
"02360";"Haltern-Lippramsdorf";1011;4;270;"07.10.2008"
"02361";"Recklinghausen";11;4;735;"07.10.2008"
"02362";"Dorsten";1011;4;306;"07.10.2008"
"02363";"Datteln";1011;4;204;"07.10.2008"
"02364";"Haltern Westf";11;4;811;"07.10.2008"
"02365";"Marl";11;4;1527;"07.10.2008"
"02366";"Herten Westf";1011;4;292;"07.10.2008"
"02367";"Henrichenburg";11;4;1008;"07.10.2008"
"02368";"Oer-Erkenschwick";1011;4;213;"07.10.2008"
"02369";"Dorsten-Wulfen";11;4;1485;"07.10.2008"
"02371";"Iserlohn";11;4;2300;"07.10.2008"
"02372";"Hemer";1011;4;226;"07.10.2008"
"02373";"Menden Sauerland";11;4;1026;"07.10.2008"
"02374";"Iserlohn-Letmathe";1011;4;289;"07.10.2008"
"02375";"Balve";1011;4;291;"07.10.2008"
"02377";"Wickede Ruhr";1011;3;193;"07.10.2008"
"02378";"Frîndenberg-Langschede";1011;4;336;"07.10.2008"
"02379";"Menden-Asbeck";1011;10;490;"07.10.2008"
"02381";"Hamm Westf";11;4;869;"07.10.2008"
"02382";"Ahlen Westf";11;4;778;"07.10.2008"
"02383";"Bînen";11;4;1136;"07.10.2008"
"02384";"Welver";1011;2;150;"07.10.2008"
"02385";"Hamm-Rhynern";11;4;1376;"07.10.2008"
"02387";"Drensteinfurt-Walstedde";1011;4;236;"07.10.2008"
"02388";"Hamm-Uentrop";1011;4;306;"07.10.2008"
"02389";"Werne";11;4;930;"07.10.2008"
"02391";"Plettenberg";1011;4;303;"07.10.2008"
"02392";"Werdohl";1011;4;245;"07.10.2008"
"02393";"Sundern-Allendorf";1011;3;185;"07.10.2008"
"02394";"Neuenrade-Affeln";1011;4;298;"07.10.2008"
"02395";"Finnentrop-Rînkhausen";1011;3;173;"07.10.2008"
"02401";"Baesweiler";11;4;1362;"07.10.2008"
"02402";"Stolberg Rheinl";11;4;951;"07.10.2008"
"02403";"Eschweiler Rheinl";11;4;1930;"07.10.2008"
"02404";"Alsdorf Rheinl";11;4;1125;"07.10.2008"
"02405";"WÅrselen";11;4;1562;"07.10.2008"
"02406";"Herzogenrath";11;4;1034;"07.10.2008"
"02407";"Herzogenrath-Kohlscheid";11;4;875;"07.10.2008"
"02408";"Aachen-KornelimÅnster";11;4;683;"07.10.2008"
"02409";"Stolberg-Gressenich";1011;3;187;"07.10.2008"
"0241";"Aachen";11;4;9914;"07.10.2008"
"02421";"DÅren";11;4;1344;"07.10.2008"
"02422";"Kreuzau";1011;4;220;"07.10.2008"
"02423";"Langerwehe";1011;4;219;"07.10.2008"
"02424";"Vettweiss";1011;10;577;"07.10.2008"
"02425";"Nideggen-Embken";1011;4;279;"07.10.2008"
"02426";"Nîrvenich";1011;10;503;"07.10.2008"
"02427";"Nideggen";1011;4;260;"07.10.2008"
"02428";"Niederzier";1011;4;227;"07.10.2008"
"02429";"HÅrtgenwald";1011;10;475;"07.10.2008"
"02431";"Erkelenz";11;4;622;"07.10.2008"
"02432";"Wassenberg";11;4;1266;"07.10.2008"
"02433";"HÅckelhoven";1011;3;179;"07.10.2008"
"02434";"Wegberg";11;4;1255;"07.10.2008"
"02435";"Erkelenz-Lîvenich";1011;4;309;"07.10.2008"
"02436";"Wegberg-Rîdgen";1011;4;241;"07.10.2008"
"02440";"Nettersheim-Tondorf";1011;10;463;"07.10.2008"
"02441";"Kall";1011;10;406;"07.10.2008"
"02443";"Mechernich";11;4;1829;"07.10.2008"
"02444";"Schleiden-GemÅnd";1011;4;297;"07.10.2008"
"02445";"Schleiden Eifel";1011;10;465;"07.10.2008"
"02446";"Heimbach Eifel";1011;4;302;"07.10.2008"
"02447";"Dahlem b Kall";1011;4;324;"07.10.2008"
"02448";"Hellenthal-Rescheid";1011;10;443;"07.10.2008"
"02449";"Blankenheim Ahr";1011;10;437;"07.10.2008"
"02451";"Geilenkirchen";11;4;495;"07.10.2008"
"02452";"Heinsberg Rheinl";11;4;858;"07.10.2008"
"02453";"Heinsberg-Randerath";11;4;1398;"07.10.2008"
"02454";"Gangelt";1011;10;357;"07.10.2008"
"02455";"Waldfeucht";1011;4;234;"07.10.2008"
"02456";"Selfkant";1011;4;266;"07.10.2008"
"02461";"JÅlich";11;4;1392;"07.10.2008"
"02462";"Linnich";11;4;1146;"07.10.2008"
"02463";"Titz";1011;4;309;"07.10.2008"
"02464";"Aldenhoven b JÅlich";1011;4;253;"07.10.2008"
"02465";"Inden";1011;4;281;"07.10.2008"
"02471";"Roetgen Eifel";1011;3;186;"07.10.2008"
"02472";"Monschau";11;4;1058;"07.10.2008"
"02473";"Simmerath";11;4;967;"07.10.2008"
"02474";"Nideggen-Schmidt";1011;4;313;"07.10.2008"
"02482";"Hellenthal";1011;10;419;"07.10.2008"
"02484";"Mechernich-Eiserfey";1011;4;273;"07.10.2008"
"02485";"Schleiden-Dreiborn";1011;4;272;"07.10.2008"
"02486";"Nettersheim";1011;4;299;"07.10.2008"
"02501";"MÅnster-Hiltrup";11;4;561;"07.10.2008"
"02502";"Nottuln";11;4;1467;"07.10.2008"
"02504";"Telgte";11;4;985;"07.10.2008"
"02505";"Altenberge Westf";1011;3;188;"07.10.2008"
"02506";"MÅnster-Wolbeck";1011;3;169;"07.10.2008"
"02507";"Havixbeck";1011;4;276;"07.10.2008"
"02508";"Drensteinfurt";11;4;1476;"07.10.2008"
"02509";"Nottuln-AppelhÅlsen";11;4;1117;"07.10.2008"
"0251";"MÅnster";1011;10;2112;"07.10.2008"
"02520";"Wadersloh-Diestedde";1011;4;251;"07.10.2008"
"02521";"Beckum";11;4;1256;"07.10.2008"
"02522";"Oelde";11;4;1467;"07.10.2008"
"02523";"Wadersloh";1011;10;413;"07.10.2008"
"02524";"Ennigerloh";1011;3;165;"07.10.2008"
"02525";"Beckum-Neubeckum";1011;4;250;"07.10.2008"
"02526";"Sendenhorst";11;4;1549;"07.10.2008"
"02527";"Lippetal-Lippborg";1011;4;269;"07.10.2008"
"02528";"Ennigerloh-Enniger";11;4;1568;"07.10.2008"
"02529";"Oelde-Stromberg";1011;4;331;"07.10.2008"
"02532";"Ostbevern";1011;4;208;"07.10.2008"
"02533";"MÅnster-Nienberge";1011;4;288;"07.10.2008"
"02534";"MÅnster-Roxel";11;4;1479;"07.10.2008"
"02535";"Sendenhorst-Albersloh";1011;4;292;"07.10.2008"
"02536";"MÅnster-Albachten";1011;3;193;"07.10.2008"
"02538";"Drensteinfurt-Rinkerode";1011;4;252;"07.10.2008"
"02541";"Coesfeld";11;4;822;"07.10.2008"
"02542";"Gescher";1011;3;177;"07.10.2008"
"02543";"Billerbeck Westf";1011;4;248;"07.10.2008"
"02545";"Rosendahl-Darfeld";1011;4;217;"07.10.2008"
"02546";"Coesfeld-Lette";1011;4;213;"07.10.2008"
"02547";"Rosendahl-Osterwick";1011;4;295;"07.10.2008"
"02548";"DÅlmen-Rorup";1011;10;359;"07.10.2008"
"02551";"Steinfurt-Burgsteinfurt";11;4;1398;"07.10.2008"
"02552";"Steinfurt-Borghorst";1011;4;269;"07.10.2008"
"02553";"Ochtrup";11;4;1243;"07.10.2008"
"02554";"Laer Kr Steinfurt";1011;2;149;"07.10.2008"
"02555";"Schîppingen";1011;4;232;"07.10.2008"
"02556";"Metelen";1011;4;217;"07.10.2008"
"02557";"Wettringen Kr Steinfurt";1011;3;198;"07.10.2008"
"02558";"Horstmar";1011;4;216;"07.10.2008"
"02561";"Ahaus";11;4;1102;"07.10.2008"
"02562";"Gronau Westfalen";11;4;1223;"07.10.2008"
"02563";"Stadtlohn";11;4;849;"07.10.2008"
"02564";"Vreden";1011;4;286;"07.10.2008"
"02565";"Gronau-Epe";11;4;1576;"07.10.2008"
"02566";"Legden";1011;3;172;"07.10.2008"
"02567";"Ahaus-AlstÑtte";1011;4;241;"07.10.2008"
"02568";"Heek";1011;4;288;"07.10.2008"
"02571";"Greven Westf";11;4;738;"07.10.2008"
